publication_date;report_date;province;health_zone;probable_cases;confirmed_cases;total_cases;new_suspected_cases;old_suspected_cases;total_suspected_cases;new_deaths;total_deaths;confirmed_deaths;new_cured;total_cured;population_density;forest_coverage_percent;water_proximity_index;latitude;longitude
43366;43365;North Kivu;Oicha;1;2;3;1;0;1;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43366;43365;North Kivu;Mabalako;21;69;90;4;0;4;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43366;43365;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43366;43365;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43366;43365;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43366;43365;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43366;43365;Ituri;Tchomia;0;1;1;1;0;1;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43365;43364;North Kivu;Beni;4;28;32;4;0;4;0;24;20;1;6;400;0.45;0.6;0.4911;29.473
43365;43364;North Kivu;Butembo;2;6;8;2;0;2;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43365;43364;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43365;43364;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43365;43364;North Kivu;Oicha;1;2;3;1;0;1;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43365;43364;North Kivu;Mabalako;21;68;89;6;0;6;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43365;43364;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43365;43364;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43365;43364;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43365;43364;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43365;43364;Ituri;Tchomia;0;1;1;0;0;0;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43364;43363;North Kivu;Beni;4;28;32;3;0;3;1;24;20;0;5;400;0.45;0.6;0.4911;29.473
43364;43363;North Kivu;Butembo;2;6;8;2;0;2;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
43364;43363;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43364;43363;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43364;43363;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43364;43363;North Kivu;Mabalako;21;68;89;3;0;3;0;65;44;0;27;55;0.85;0.6;0.4167;29.25
43364;43363;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43364;43363;North Kivu;Musienene;1;0;1;1;0;1;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43364;43363;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43364;43363;Ituri;Mandima;2;9;11;2;0;2;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43364;43363;Ituri;Tchomia;0;1;1;0;0;0;1;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43363;43362;North Kivu;Beni;4;25;29;2;0;2;0;23;19;1;5;400;0.45;0.6;0.4911;29.473
43363;43362;North Kivu;Butembo;2;6;8;2;0;2;0;3;1;0;1;1200;0.15;0.4;0.1416;29.2881
